Munkalap száma;Ügyfél;E-mail;Telefon; Bruttó végösszeg; Ügyintézõ;
NMLZ114961;Merkantil Bérlet Kft.;pancsovay.rezso@mail.merkantil.hu;(1)268-68-00 (30)2686800;312684,00;Netz Viktor - Zugló telephely;
Cikkszám;Megnevezés;Mennyiség;Listaár;Egységár;Nettó érték;Áfa kulcs;Adó;Bruttó érték;Kedvezmény;
'0000031340';TÖMÍTÉS;1,00;697,00;592,00;592,00;27,00;160,00;752,00;15,06;
'00006447XF';SZÛRÕSZETT;1,00;8838,00;7512,00;7512,00;27,00;2028,00;9540,00;15,00;
'030T';Total INEO FIRS B71 2312;3,75;6000,00;2900,00;10875,00;27,00;2936,00;13811,00;51,67;
'1610577780';VÍZPUMPA+VEZÉRLÉS SZET.;1,00;67997,00;57797,00;57797,00;27,00;15605,00;73402,00;15,00;
'1610693780';OLAJSZR;1,00;4946,00;4204,00;4204,00;27,00;1135,00;5339,00;15,00;
'1610725580';FÉKFOLYADÉK BIDON 0,5 L;1,00;2679,00;2277,00;2277,00;27,00;615,00;2892,00;15,01;
'1611503880C';TARTOZÉK SZETT;1,00;12669,00;10769,00;10769,00;27,00;2908,00;13677,00;15,00;
'1611909180';ABLAK MOSÓ FOLYADÉK;1,00;857,00;728,00;728,00;27,00;197,00;925,00;15,05;
'1637756380';2L HÛTÕFOLY.-35°C KÉK;3,00;2852,00;2424,00;7272,00;27,00;1963,00;9235,00;15,01;
'1647862480';4 BETÉTES KÉSZL;1,00;29351,00;24948,00;24948,00;27,00;6736,00;31684,00;15,00;
'1667857480';EM:2 EL TÁRCSA;1,00;27051,00;22993,00;22993,00;27,00;6208,00;29201,00;15,00;
'9801366680';ÜZEMA.SZRBETÉT;1,00;14548,00;12366,00;12366,00;27,00;3339,00;15705,00;15,00;
'9802348680';LEV.SZRBETÉT;1,00;9318,00;7920,00;7920,00;27,00;2138,00;10058,00;15,00;
Normakód;Megnevezés;Mennyiség;Listaár;Egységár;Nettó érték;Áfa kulcs;Adó;Bruttó érték;Kedvezmény;
'01POLL';Pollenszûrõ csere;0,20;15900,00;11925,00;2385,00;27,00;644,00;3029,00;25,00;
'95N31A';ELLENORZÉS RÉSZECSKESZÛRÕ ADALÉKSZINT KARBANTARTÁS;0,10;15900,00;11925,00;1193,00;27,00;322,00;1515,00;25,00;
'95R04A';LÉGSZÛRÕ CSERE;0,10;15900,00;11925,00;1193,00;27,00;322,00;1515,00;25,00;
'95R30A';ELLENORZÉS HÛTÕFOLYADÉK PH KARBANTA;0,05;15900,00;11925,00;596,00;27,00;161,00;757,00;25,00;
'AG24L1';Vezérlés szett csere;3,00;15900,00;11925,00;35775,00;27,00;9659,00;45434,00;25,00;
'BDP';FÉKTÁRCSA ÉS FÉKBETÉT CSERE Átvizsg;1,00;15900,00;11925,00;11925,00;27,00;3220,00;15145,00;25,00;
'ÉVES';ÉVES KARBANTARTÁS;1,00;15900,00;11925,00;11925,00;27,00;3220,00;15145,00;25,00;
'fekolaj';Fékolaj csere és fékmérés;0,50;15900,00;11925,00;5963,00;27,00;1610,00;7573,00;25,00;
Kód;Megnevezés;Mennyiség;Listaár;Egységár;Nettó érték;Áfa kulcs;Adó;Bruttó érték;Kedvezmény;
'SANYAG';Segédanyag;1,00;5000,00;5000,00;5000,00;27,00;1350,00;6350,00;0,00;
